Round 0, ENVOY_1, train result train_acc ,0.852941
Round 0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.500000
Round 0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.484375
Round 0, ENVOY_3, train result train_acc ,0.605882
Round 0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.578125
Round 0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.546875
Round 0, ENVOY_2, train result train_acc ,0.652941
Round 0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.484375
Round 0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.484375
Round 0, Aggregator, train result train_acc ,0.703732
Round 0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.520833
Round 0, Aggregator, aggregated_model_validate result validation_accuracy ,0.505208
Round 1, ENVOY_2, train result train_acc ,0.652941
Round 1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.468750
Round 1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.468750
Round 1, ENVOY_1, train result train_acc ,0.858824
Round 1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.484375
Round 1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.500000
Round 1, ENVOY_3, train result train_acc ,0.623529
Round 1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.625000
Round 1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.546875
Round 1, Aggregator, train result train_acc ,0.711594
Round 1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.526042
Round 1, Aggregator, aggregated_model_validate result validation_accuracy ,0.505208
Round 2, ENVOY_3, train result train_acc ,0.629412
Round 2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.640625
Round 2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.609375
Round 2, ENVOY_2, train result train_acc ,0.670588
Round 2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.453125
Round 2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.500000
Round 2, ENVOY_1, train result train_acc ,0.870588
Round 2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.468750
Round 2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.500000
Round 2, Aggregator, train result train_acc ,0.723347
Round 2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.520833
Round 2, Aggregator, aggregated_model_validate result validation_accuracy ,0.536458
