0, ENVOY_2, train result train_acc ,0.863372
0, ENVOY_3, train result train_acc ,0.856395
0, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.839189
0, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.848649
0, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.583784
0, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.562162
0, ENVOY_1, train result train_acc ,0.868605
0, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.862162
0, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.574324
0, Aggregator, train result train_acc ,0.862791
0, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.850000
0, Aggregator, aggregated_model_validate result validation_accuracy ,0.573423
1, ENVOY_1, train result train_acc ,0.930233
1, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.872973
1, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.860811
1, ENVOY_3, train result train_acc ,0.921512
1, ENVOY_2, train result train_acc ,0.924419
1, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.860811
1, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.860811
1, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.844595
1, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.844595
1, Aggregator, train result train_acc ,0.925388
1, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.864865
1, Aggregator, aggregated_model_validate result validation_accuracy ,0.850000
2, ENVOY_2, train result train_acc ,0.930814
2, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.860811
2, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.860811
2, ENVOY_1, train result train_acc ,0.930814
2, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.858108
2, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.872973
2, ENVOY_3, train result train_acc ,0.926163
2, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.851351
2, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.866216
2, Aggregator, train result train_acc ,0.929264
2, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.856757
2, Aggregator, aggregated_model_validate result validation_accuracy ,0.866667
3, ENVOY_3, train result train_acc ,0.933140
3, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.860811
3, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.856757
3, ENVOY_1, train result train_acc ,0.936047
3, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.824324
3, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.868919
3, ENVOY_2, train result train_acc ,0.933721
3, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.851351
3, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.851351
3, Aggregator, train result train_acc ,0.934302
3, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.845496
3, Aggregator, aggregated_model_validate result validation_accuracy ,0.859009
4, ENVOY_2, train result train_acc ,0.934884
4, ENVOY_2, locally_tuned_model_validate result validation_accuracy ,0.860811
4, ENVOY_2, aggregated_model_validate result validation_accuracy ,0.851351
4, ENVOY_1, train result train_acc ,0.940116
4, ENVOY_1, locally_tuned_model_validate result validation_accuracy ,0.816216
4, ENVOY_1, aggregated_model_validate result validation_accuracy ,0.868919
4, ENVOY_3, train result train_acc ,0.933721
4, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.856757
4, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.852703
4, Aggregator, train result train_acc ,0.936240
4, Aggregator, locally_tuned_model_validate result validation_accuracy ,0.844595
4, Aggregator, aggregated_model_validate result validation_accuracy ,0.857658
5, ENVOY_3, train result train_acc ,0.936628
5, ENVOY_3, locally_tuned_model_validate result validation_accuracy ,0.825676
5, ENVOY_3, aggregated_model_validate result validation_accuracy ,0.852703
